teamID,yearID,R,RA,W,L,WPct
ANA,1997,829,794,84,78,0.5185
ANA,1998,787,783,85,77,0.5247
ANA,1999,711,826,70,92,0.4321
ANA,2000,864,869,82,80,0.5062
ANA,2001,691,730,75,87,0.4630
ANA,2002,851,644,99,63,0.6111
ANA,2003,736,743,77,85,0.4753
ANA,2004,836,734,92,70,0.5679
ARI,1998,665,812,65,97,0.4012
ARI,1999,908,676,100,62,0.6173
ARI,2000,792,754,85,77,0.5247
ARI,2001,818,677,92,70,0.5679
ARI,2002,819,674,98,64,0.6049
ARI,2003,717,685,84,78,0.5185
ARI,2004,615,899,51,111,0.3148
ARI,2005,696,856,77,85,0.4753
ARI,2006,773,788,76,86,0.4691
ARI,2007,712,732,90,72,0.5556
ARI,2008,720,706,82,80,0.5062
ARI,2009,720,782,70,92,0.4321
ARI,2010,713,836,65,97,0.4012
ARI,2011,731,662,94,68,0.5802
ARI,2012,734,688,81,81,0.5000
ARI,2013,685,695,81,81,0.5000
ATL,1966,782,683,85,77,0.5247
ATL,1967,631,640,77,85,0.4753
ATL,1968,514,549,81,81,0.5000
ATL,1969,691,631,93,69,0.5741
ATL,1970,736,772,76,86,0.4691
ATL,1971,643,699,82,80,0.5062
ATL,1972,628,730,70,84,0.4545
ATL,1973,799,774,76,85,0.4720
ATL,1974,661,563,88,74,0.5432
ATL,1975,583,739,67,94,0.4161
ATL,1976,620,700,70,92,0.4321
ATL,1977,678,895,61,101,0.3765
ATL,1978,600,750,69,93,0.4259
ATL,1979,669,763,66,94,0.4125
ATL,1980,630,660,81,80,0.5031
ATL,1981,395,416,50,56,0.4717
ATL,1982,739,702,89,73,0.5494
ATL,1983,746,640,88,74,0.5432
ATL,1984,632,655,80,82,0.4938
ATL,1985,632,781,66,96,0.4074
ATL,1986,615,719,72,89,0.4472
ATL,1987,747,829,69,92,0.4286
ATL,1988,555,741,54,106,0.3375
ATL,1989,584,680,63,97,0.3938
ATL,1990,682,821,65,97,0.4012
ATL,1991,749,644,94,68,0.5802
ATL,1992,682,569,98,64,0.6049
ATL,1993,767,559,104,58,0.6420
ATL,1994,542,448,68,46,0.5965
ATL,1995,645,540,90,54,0.6250
ATL,1996,773,648,96,66,0.5926
ATL,1997,791,581,101,61,0.6235
ATL,1998,826,581,106,56,0.6543
ATL,1999,840,661,103,59,0.6358
ATL,2000,810,714,95,67,0.5864
ATL,2001,729,643,88,74,0.5432
ATL,2002,708,565,101,59,0.6313
ATL,2003,907,740,101,61,0.6235
ATL,2004,803,668,96,66,0.5926
ATL,2005,769,674,90,72,0.5556
ATL,2006,849,805,79,83,0.4877
ATL,2007,810,733,84,78,0.5185
ATL,2008,753,778,72,90,0.4444
ATL,2009,735,641,86,76,0.5309
ATL,2010,738,629,91,71,0.5617
ATL,2011,641,605,89,73,0.5494
ATL,2012,700,600,94,68,0.5802
ATL,2013,688,548,96,66,0.5926
BAL,1955,540,754,57,97,0.3701
BAL,1956,571,705,69,85,0.4481
BAL,1957,597,588,76,76,0.5000
BAL,1958,521,575,74,79,0.4837
BAL,1959,551,621,74,80,0.4805
BAL,1960,682,606,89,65,0.5779
BAL,1961,691,588,95,67,0.5864
BAL,1962,652,680,77,85,0.4753
BAL,1963,644,621,86,76,0.5309
BAL,1964,679,567,97,65,0.5988
BAL,1965,641,578,94,68,0.5802
BAL,1966,755,601,97,63,0.6063
BAL,1967,654,592,76,85,0.4720
BAL,1968,579,497,91,71,0.5617
BAL,1969,779,517,109,53,0.6728
BAL,1970,792,574,108,54,0.6667
BAL,1971,742,530,101,57,0.6392
BAL,1972,519,430,80,74,0.5195
BAL,1973,754,561,97,65,0.5988
BAL,1974,659,612,91,71,0.5617
BAL,1975,682,553,90,69,0.5660
BAL,1976,619,598,88,74,0.5432
BAL,1977,719,653,97,64,0.6025
BAL,1978,659,633,90,71,0.5590
BAL,1979,757,582,102,57,0.6415
BAL,1980,805,640,100,62,0.6173
BAL,1981,429,437,59,46,0.5619
BAL,1982,774,687,94,68,0.5802
BAL,1983,799,652,98,64,0.6049
BAL,1984,681,667,85,77,0.5247
BAL,1985,818,764,83,78,0.5155
BAL,1986,708,760,73,89,0.4506
BAL,1987,729,880,67,95,0.4136
BAL,1988,550,789,54,107,0.3354
BAL,1989,708,686,87,75,0.5370
BAL,1990,669,698,76,85,0.4720
BAL,1991,686,796,67,95,0.4136
BAL,1992,705,656,89,73,0.5494
BAL,1993,786,745,85,77,0.5247
BAL,1994,589,497,63,49,0.5625
BAL,1995,704,640,71,73,0.4931
BAL,1996,949,903,88,74,0.5432
BAL,1997,812,681,98,64,0.6049
BAL,1998,817,785,79,83,0.4877
BAL,1999,851,815,78,84,0.4815
BAL,2000,794,913,74,88,0.4568
BAL,2001,687,829,63,98,0.3913
BAL,2002,667,773,67,95,0.4136
BAL,2003,743,820,71,91,0.4383
BAL,2004,842,830,78,84,0.4815
BAL,2005,729,800,74,88,0.4568
BAL,2006,768,899,70,92,0.4321
BAL,2007,756,868,69,93,0.4259
BAL,2008,782,869,68,93,0.4224
BAL,2009,741,876,64,98,0.3951
BAL,2010,613,785,66,96,0.4074
BAL,2011,708,860,69,93,0.4259
BAL,2012,712,705,93,69,0.5741
BAL,2013,745,709,85,77,0.5247
BOS,1955,755,652,84,70,0.5455
BOS,1956,780,751,84,70,0.5455
BOS,1957,721,668,82,72,0.5325
BOS,1958,697,691,79,75,0.5130
BOS,1959,726,696,75,79,0.4870
BOS,1960,658,775,65,89,0.4221
BOS,1961,729,792,76,86,0.4691
BOS,1962,707,756,76,84,0.4750
BOS,1963,666,704,76,85,0.4720
BOS,1964,688,793,72,90,0.4444
BOS,1965,669,791,62,100,0.3827
BOS,1966,655,731,72,90,0.4444
BOS,1967,722,614,92,70,0.5679
BOS,1968,614,611,86,76,0.5309
BOS,1969,743,736,87,75,0.5370
BOS,1970,786,722,87,75,0.5370
BOS,1971,691,667,85,77,0.5247
BOS,1972,640,620,85,70,0.5484
BOS,1973,738,647,89,73,0.5494
BOS,1974,696,661,84,78,0.5185
BOS,1975,796,709,95,65,0.5938
BOS,1976,716,660,83,79,0.5123
BOS,1977,859,712,97,64,0.6025
BOS,1978,796,657,99,64,0.6074
BOS,1979,841,711,91,69,0.5688
BOS,1980,757,767,83,77,0.5188
BOS,1981,519,481,59,49,0.5463
BOS,1982,753,713,89,73,0.5494
BOS,1983,724,775,78,84,0.4815
BOS,1984,810,764,86,76,0.5309
BOS,1985,800,720,81,81,0.5000
BOS,1986,794,696,95,66,0.5901
BOS,1987,842,825,78,84,0.4815
BOS,1988,813,689,89,73,0.5494
BOS,1989,774,735,83,79,0.5123
BOS,1990,699,664,88,74,0.5432
BOS,1991,731,712,84,78,0.5185
BOS,1992,599,669,73,89,0.4506
BOS,1993,686,698,80,82,0.4938
BOS,1994,552,621,54,61,0.4696
BOS,1995,791,698,86,58,0.5972
BOS,1996,928,921,85,77,0.5247
BOS,1997,851,857,78,84,0.4815
BOS,1998,876,729,92,70,0.5679
BOS,1999,836,718,94,68,0.5802
BOS,2000,792,745,85,77,0.5247
BOS,2001,772,745,82,79,0.5093
BOS,2002,859,665,93,69,0.5741
BOS,2003,961,809,95,67,0.5864
BOS,2004,949,768,98,64,0.6049
BOS,2005,910,805,95,67,0.5864
BOS,2006,820,825,86,76,0.5309
BOS,2007,867,657,96,66,0.5926
BOS,2008,845,694,95,67,0.5864
BOS,2009,872,736,95,67,0.5864
BOS,2010,818,744,89,73,0.5494
BOS,2011,875,737,90,72,0.5556
BOS,2012,734,806,69,93,0.4259
BOS,2013,853,656,97,65,0.5988
BRO,1955,857,650,98,55,0.6405
BRO,1956,720,601,93,61,0.6039
BRO,1957,690,591,84,70,0.5455
CAL,1965,527,569,75,87,0.4630
CAL,1966,604,643,80,82,0.4938
CAL,1967,567,587,84,77,0.5217
CAL,1968,498,615,67,95,0.4136
CAL,1969,528,652,71,91,0.4383
CAL,1970,631,630,86,76,0.5309
CAL,1971,511,576,76,86,0.4691
CAL,1972,454,533,75,80,0.4839
CAL,1973,629,657,79,83,0.4877
CAL,1974,618,657,68,94,0.4198
CAL,1975,628,723,72,89,0.4472
CAL,1976,550,631,76,86,0.4691
CAL,1977,675,695,74,88,0.4568
CAL,1978,691,666,87,75,0.5370
CAL,1979,866,768,88,74,0.5432
CAL,1980,698,797,65,95,0.4063
CAL,1981,476,453,51,59,0.4636
CAL,1982,814,670,93,69,0.5741
CAL,1983,722,779,70,92,0.4321
CAL,1984,696,697,81,81,0.5000
CAL,1985,732,703,90,72,0.5556
CAL,1986,786,684,92,70,0.5679
CAL,1987,770,803,75,87,0.4630
CAL,1988,714,771,75,87,0.4630
CAL,1989,669,578,91,71,0.5617
CAL,1990,690,706,80,82,0.4938
CAL,1991,653,649,81,81,0.5000
CAL,1992,579,671,72,90,0.4444
CAL,1993,684,770,71,91,0.4383
CAL,1994,543,660,47,68,0.4087
CAL,1995,801,697,78,67,0.5379
CAL,1996,762,943,70,91,0.4348
CHA,1955,725,557,91,63,0.5909
CHA,1956,776,634,85,69,0.5519
CHA,1957,707,566,90,64,0.5844
CHA,1958,634,615,82,72,0.5325
CHA,1959,669,588,94,60,0.6104
CHA,1960,741,617,87,67,0.5649
CHA,1961,765,726,86,76,0.5309
CHA,1962,707,658,85,77,0.5247
CHA,1963,683,544,94,68,0.5802
CHA,1964,642,501,98,64,0.6049
CHA,1965,647,555,95,67,0.5864
CHA,1966,574,517,83,79,0.5123
CHA,1967,531,491,89,73,0.5494
CHA,1968,463,527,67,95,0.4136
CHA,1969,625,723,68,94,0.4198
CHA,1970,633,822,56,106,0.3457
CHA,1971,617,597,79,83,0.4877
CHA,1972,566,538,87,67,0.5649
CHA,1973,652,705,77,85,0.4753
CHA,1974,684,721,80,80,0.5000
CHA,1975,655,703,75,86,0.4658
CHA,1976,586,745,64,97,0.3975
CHA,1977,844,771,90,72,0.5556
CHA,1978,634,731,71,90,0.4410
CHA,1979,730,748,73,87,0.4563
CHA,1980,587,722,70,90,0.4375
CHA,1981,476,423,54,52,0.5094
CHA,1982,786,710,87,75,0.5370
CHA,1983,800,650,99,63,0.6111
CHA,1984,679,736,74,88,0.4568
CHA,1985,736,720,85,77,0.5247
CHA,1986,644,699,72,90,0.4444
CHA,1987,748,746,77,85,0.4753
CHA,1988,631,757,71,90,0.4410
CHA,1989,693,750,69,92,0.4286
CHA,1990,682,633,94,68,0.5802
CHA,1991,758,681,87,75,0.5370
CHA,1992,738,690,86,76,0.5309
CHA,1993,776,664,94,68,0.5802
CHA,1994,633,498,67,46,0.5929
CHA,1995,755,758,68,76,0.4722
CHA,1996,898,794,85,77,0.5247
CHA,1997,779,833,80,81,0.4969
CHA,1998,861,931,80,82,0.4938
CHA,1999,777,870,75,86,0.4658
CHA,2000,978,839,95,67,0.5864
CHA,2001,798,795,83,79,0.5123
CHA,2002,856,798,81,81,0.5000
CHA,2003,791,715,86,76,0.5309
CHA,2004,865,831,83,79,0.5123
CHA,2005,741,645,99,63,0.6111
CHA,2006,868,794,90,72,0.5556
CHA,2007,693,839,72,90,0.4444
CHA,2008,811,729,89,74,0.5460
CHA,2009,724,732,79,83,0.4877
CHA,2010,752,704,88,74,0.5432
CHA,2011,654,706,79,83,0.4877
CHA,2012,748,676,85,77,0.5247
CHA,2013,602,689,66,96,0.4074
CHN,1955,626,713,72,81,0.4706
CHN,1956,597,708,60,94,0.3896
CHN,1957,628,722,62,92,0.4026
CHN,1958,709,725,72,82,0.4675
CHN,1959,673,688,74,80,0.4805
CHN,1960,634,776,60,94,0.3896
CHN,1961,689,800,64,90,0.4156
CHN,1962,632,827,59,103,0.3642
CHN,1963,570,578,82,80,0.5062
CHN,1964,649,724,76,86,0.4691
CHN,1965,635,723,72,90,0.4444
CHN,1966,644,809,59,103,0.3642
CHN,1967,702,624,87,74,0.5404
CHN,1968,612,611,84,78,0.5185
CHN,1969,720,611,92,70,0.5679
CHN,1970,806,679,84,78,0.5185
CHN,1971,637,648,83,79,0.5123
CHN,1972,685,567,85,70,0.5484
CHN,1973,614,655,77,84,0.4783
CHN,1974,669,826,66,96,0.4074
CHN,1975,712,827,75,87,0.4630
CHN,1976,611,728,75,87,0.4630
CHN,1977,692,739,81,81,0.5000
CHN,1978,664,724,79,83,0.4877
CHN,1979,706,707,80,82,0.4938
CHN,1980,614,728,64,98,0.3951
CHN,1981,370,483,38,65,0.3689
CHN,1982,676,709,73,89,0.4506
CHN,1983,701,719,71,91,0.4383
CHN,1984,762,658,96,65,0.5963
CHN,1985,686,729,77,84,0.4783
CHN,1986,680,781,70,90,0.4375
CHN,1987,720,801,76,85,0.4720
CHN,1988,660,694,77,85,0.4753
CHN,1989,702,623,93,69,0.5741
CHN,1990,690,774,77,85,0.4753
CHN,1991,695,734,77,83,0.4813
CHN,1992,593,624,78,84,0.4815
CHN,1993,738,739,84,78,0.5185
CHN,1994,500,549,49,64,0.4336
CHN,1995,693,671,73,71,0.5069
CHN,1996,772,771,76,86,0.4691
CHN,1997,687,759,68,94,0.4198
CHN,1998,831,792,90,73,0.5521
CHN,1999,747,920,67,95,0.4136
CHN,2000,764,904,65,97,0.4012
CHN,2001,777,701,88,74,0.5432
CHN,2002,706,759,67,95,0.4136
CHN,2003,724,683,88,74,0.5432
CHN,2004,789,665,89,73,0.5494
CHN,2005,703,714,79,83,0.4877
CHN,2006,716,834,66,96,0.4074
CHN,2007,752,690,85,77,0.5247
CHN,2008,855,671,97,64,0.6025
CHN,2009,707,672,83,78,0.5155
CHN,2010,685,767,75,87,0.4630
CHN,2011,654,756,71,91,0.4383
CHN,2012,613,759,61,101,0.3765
CHN,2013,598,723,63,99,0.3889
CIN,1955,761,684,75,79,0.4870
CIN,1956,775,658,91,63,0.5909
CIN,1957,747,781,80,74,0.5195
CIN,1958,695,621,76,78,0.4935
CIN,1959,764,738,74,80,0.4805
CIN,1960,640,692,67,87,0.4351
CIN,1961,710,653,93,61,0.6039
CIN,1962,802,685,98,64,0.6049
CIN,1963,648,594,86,76,0.5309
CIN,1964,660,566,92,70,0.5679
CIN,1965,825,704,89,73,0.5494
CIN,1966,692,702,76,84,0.4750
CIN,1967,604,563,87,75,0.5370
CIN,1968,690,673,83,79,0.5123
CIN,1969,798,768,89,73,0.5494
CIN,1970,775,681,102,60,0.6296
CIN,1971,586,581,79,83,0.4877
CIN,1972,707,557,95,59,0.6169
CIN,1973,741,621,99,63,0.6111
CIN,1974,776,631,98,64,0.6049
CIN,1975,840,586,108,54,0.6667
CIN,1976,857,633,102,60,0.6296
CIN,1977,802,725,88,74,0.5432
CIN,1978,710,688,92,69,0.5714
CIN,1979,731,644,90,71,0.5590
CIN,1980,707,670,89,73,0.5494
CIN,1981,464,440,66,42,0.6111
CIN,1982,545,661,61,101,0.3765
CIN,1983,623,710,74,88,0.4568
CIN,1984,627,747,70,92,0.4321
CIN,1985,677,666,89,72,0.5528
CIN,1986,732,717,86,76,0.5309
CIN,1987,783,752,84,78,0.5185
CIN,1988,641,596,87,74,0.5404
CIN,1989,632,691,75,87,0.4630
CIN,1990,693,597,91,71,0.5617
CIN,1991,689,691,74,88,0.4568
CIN,1992,660,609,90,72,0.5556
CIN,1993,722,785,73,89,0.4506
CIN,1994,609,490,66,48,0.5789
CIN,1995,747,623,85,59,0.5903
CIN,1996,778,773,81,81,0.5000
CIN,1997,651,764,76,86,0.4691
CIN,1998,750,760,77,85,0.4753
CIN,1999,865,711,96,67,0.5890
CIN,2000,825,765,85,77,0.5247
CIN,2001,735,850,66,96,0.4074
CIN,2002,709,774,78,84,0.4815
CIN,2003,694,886,69,93,0.4259
CIN,2004,750,907,76,86,0.4691
CIN,2005,820,889,73,89,0.4506
CIN,2006,749,801,80,82,0.4938
CIN,2007,783,853,72,90,0.4444
CIN,2008,704,800,74,88,0.4568
CIN,2009,673,723,78,84,0.4815
CIN,2010,790,685,91,71,0.5617
CIN,2011,735,720,79,83,0.4877
CIN,2012,669,588,97,65,0.5988
CIN,2013,698,589,90,72,0.5556
CLE,1955,698,601,93,61,0.6039
CLE,1956,712,581,88,66,0.5714
CLE,1957,682,722,76,77,0.4967
CLE,1958,694,635,77,76,0.5033
CLE,1959,745,646,89,65,0.5779
CLE,1960,667,693,76,78,0.4935
CLE,1961,737,752,78,83,0.4845
CLE,1962,682,745,80,82,0.4938
CLE,1963,635,702,79,83,0.4877
CLE,1964,689,693,79,83,0.4877
CLE,1965,663,613,87,75,0.5370
CLE,1966,574,586,81,81,0.5000
CLE,1967,559,613,75,87,0.4630
CLE,1968,516,504,86,75,0.5342
CLE,1969,573,717,62,99,0.3851
CLE,1970,649,675,76,86,0.4691
CLE,1971,543,747,60,102,0.3704
CLE,1972,472,519,72,84,0.4615
CLE,1973,680,826,71,91,0.4383
CLE,1974,662,694,77,85,0.4753
CLE,1975,688,703,79,80,0.4969
CLE,1976,615,615,81,78,0.5094
CLE,1977,676,739,71,90,0.4410
CLE,1978,639,694,69,90,0.4340
CLE,1979,760,805,81,80,0.5031
CLE,1980,738,807,79,81,0.4938
CLE,1981,431,442,52,51,0.5049
CLE,1982,683,748,78,84,0.4815
CLE,1983,704,785,70,92,0.4321
CLE,1984,761,766,75,87,0.4630
CLE,1985,729,861,60,102,0.3704
CLE,1986,831,841,84,78,0.5185
CLE,1987,742,957,61,101,0.3765
CLE,1988,666,731,78,84,0.4815
CLE,1989,604,654,73,89,0.4506
CLE,1990,732,737,77,85,0.4753
CLE,1991,576,759,57,105,0.3519
CLE,1992,674,746,76,86,0.4691
CLE,1993,790,813,76,86,0.4691
CLE,1994,679,562,66,47,0.5841
CLE,1995,840,607,100,44,0.6944
CLE,1996,952,769,99,62,0.6149
CLE,1997,868,815,86,75,0.5342
CLE,1998,850,779,89,73,0.5494
CLE,1999,1009,860,97,65,0.5988
CLE,2000,950,816,90,72,0.5556
CLE,2001,897,821,91,71,0.5617
CLE,2002,739,837,74,88,0.4568
CLE,2003,699,778,68,94,0.4198
CLE,2004,858,857,80,82,0.4938
CLE,2005,790,642,93,69,0.5741
CLE,2006,870,782,78,84,0.4815
CLE,2007,811,704,96,66,0.5926
CLE,2008,805,761,81,81,0.5000
CLE,2009,773,865,65,97,0.4012
CLE,2010,646,752,69,93,0.4259
CLE,2011,704,760,80,82,0.4938
CLE,2012,667,845,68,94,0.4198
CLE,2013,745,662,92,70,0.5679
COL,1993,758,967,67,95,0.4136
COL,1994,573,638,53,64,0.4530
COL,1995,785,783,77,67,0.5347
COL,1996,961,964,83,79,0.5123
COL,1997,923,908,83,79,0.5123
COL,1998,826,855,77,85,0.4753
COL,1999,906,1028,72,90,0.4444
COL,2000,968,897,82,80,0.5062
COL,2001,923,906,73,89,0.4506
COL,2002,778,898,73,89,0.4506
COL,2003,853,892,74,88,0.4568
COL,2004,833,923,68,94,0.4198
COL,2005,740,862,67,95,0.4136
COL,2006,813,812,76,86,0.4691
COL,2007,860,758,90,73,0.5521
COL,2008,747,822,74,88,0.4568
COL,2009,804,715,92,70,0.5679
COL,2010,770,717,83,79,0.5123
COL,2011,735,774,73,89,0.4506
COL,2012,758,890,64,98,0.3951
COL,2013,706,760,74,88,0.4568
DET,1955,775,658,79,75,0.5130
DET,1956,789,699,82,72,0.5325
DET,1957,614,614,78,76,0.5065
DET,1958,659,606,77,77,0.5000
DET,1959,713,732,76,78,0.4935
DET,1960,633,644,71,83,0.4610
DET,1961,841,671,101,61,0.6235
DET,1962,758,692,85,76,0.5280
DET,1963,700,703,79,83,0.4877
DET,1964,699,678,85,77,0.5247
DET,1965,680,602,89,73,0.5494
DET,1966,719,698,88,74,0.5432
DET,1967,683,587,91,71,0.5617
DET,1968,671,492,103,59,0.6358
DET,1969,701,601,90,72,0.5556
DET,1970,666,731,79,83,0.4877
DET,1971,701,645,91,71,0.5617
DET,1972,558,514,86,70,0.5513
DET,1973,642,674,85,77,0.5247
DET,1974,620,768,72,90,0.4444
DET,1975,570,786,57,102,0.3585
DET,1976,609,709,74,87,0.4596
DET,1977,714,751,74,88,0.4568
DET,1978,714,653,86,76,0.5309
DET,1979,770,738,85,76,0.5280
DET,1980,830,757,84,78,0.5185
DET,1981,427,404,60,49,0.5505
DET,1982,729,685,83,79,0.5123
DET,1983,789,679,92,70,0.5679
DET,1984,829,643,104,58,0.6420
DET,1985,729,688,84,77,0.5217
DET,1986,798,714,87,75,0.5370
DET,1987,896,735,98,64,0.6049
DET,1988,703,658,88,74,0.5432
DET,1989,617,816,59,103,0.3642
DET,1990,750,754,79,83,0.4877
DET,1991,817,794,84,78,0.5185
DET,1992,791,794,75,87,0.4630
DET,1993,899,837,85,77,0.5247
DET,1994,652,671,53,62,0.4609
DET,1995,654,844,60,84,0.4167
